S. No,Order ID,Order Date,Ship Date (Bluesky Logistics),Ship Mode (Bluesky Logistics),Country,City,Postal Code,Region,Product ID,Product Name (by Designer),Sales (INR), Cost (INR),Quantity,Profit (INR),Turnaround time (days),Delivery status,ship mode
20,CA-2014-143336,41878,41883,Second Class,India,Mumbai,94109,West,TEC-PH-10001949,Plain T-shirt,213.48,197.469,3,16.011,7,Shipping on time,Regular Air
21,CA-2014-143336,41878,41883,Second Class,India,Mumbai,94109,West,OFF-BI-10002215,Plain T-shirt,22.72,15.336,4,7.384,7,Shipping on time,Regular Air
22,CA-2016-137330,42713,42717,Standard Class,India,Mumbai,68025,Central,OFF-AR-10000246,Plain T-shirt,19.46,14.4004,7,5.0596,10,Late delivery,Regular Air
23,CA-2016-137330,42713,42717,Standard Class,India,Mumbai,68025,Central,OFF-AP-10001492,Plain T-shirt,60.34,44.6516,7,15.6884,10,Late delivery,Regular Air
24,US-2017-156909,42932,42934,Second Class,India,Mumbai,19140,East,FUR-CH-10002774,Plain T-shirt,71.372,72.3916,2,-1.0196,7,Shipping canceled,Regular Air
25,CA-2015-106320,42272,42277,Standard Class,India,Mumbai,84057,West,FUR-TA-10000577,Plain T-shirt,1044.63,804.3651,3,240.2649,10,Shipping canceled,Regular Air
26,CA-2016-121755,42385,42389,Second Class,India,Mumbai,90049,West,OFF-BI-10001634,Plain T-shirt,11.648,7.4256,2,4.2224,7,Late delivery,Regular Air
27,CA-2016-121755,42385,42389,Second Class,India,Mumbai,90049,West,TEC-AC-10003027,Plain T-shirt,90.57,78.7959,3,11.7741,7,Late delivery,Regular Air
28,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,FUR-BO-10004834,Plain T-shirt,3083.43,4748.4822,7,-1665.0522,10,Shipping on time,Regular Air
29,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,OFF-BI-10000474,Plain T-shirt,9.618,16.6712,2,-7.0532,10,Advance shipping,Regular Air
30,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,FUR-FU-10004848,Plain T-shirt,124.2,108.675,3,15.525,10,Advance shipping,Regular Air
31,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,OFF-EN-10001509,Plain T-shirt,3.264,2.1624,2,1.1016,10,Late delivery,Regular Air
32,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,OFF-AR-10004042,Plain T-shirt,86.304,76.5948,6,9.70919999999999,10,Late delivery,Regular Air
33,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,OFF-BI-10001525,Plain T-shirt,6.858,12.573,6,-5.715,10,Shipping on time,Express Air
34,US-2015-150630,42264,42268,Standard Class,India,Mumbai,19140,East,OFF-AR-10001683,Plain T-shirt,15.76,12.214,2,3.546,10,Late delivery,Regular Air
35,CA-2017-107727,43027,43031,Second Class,India,Mumbai,77095,Central,OFF-PA-10000249,Plain T-shirt,29.472,19.5252,3,9.9468,7,Late delivery,Express Air
36,CA-2016-117590,42712,42714,First Class,India,Mumbai,75080,Central,TEC-PH-10004977,Plain T-shirt,1097.544,974.0703,7,123.4737,3,Late delivery,Regular Air
37,CA-2016-117590,42712,42714,First Class,India,Mumbai,75080,Central,FUR-FU-10003664,Plain T-shirt,190.92,338.883,5,-147.963,3,Late delivery,Express Air
38,CA-2015-117415,42365,42369,Standard Class,India,Mumbai,77041,Central,OFF-EN-10002986,Plain T-shirt,113.328,77.913,9,35.415,10,Late delivery,Express Air
39,CA-2015-117415,42365,42369,Standard Class,India,Chennai,77041,Central,FUR-BO-10002545,Plain T-shirt,532.3992,579.3756,3,-46.9764,10,Late delivery,Regular Air
40,CA-2015-117415,42365,42369,Standard Class,India,Chennai,77041,Central,FUR-CH-10004218,Plain T-shirt,212.058,227.205,3,-15.147,10,Shipping canceled,Delivery Truck
41,CA-2015-117415,42365,42369,Standard Class,India,Chennai,77041,Central,TEC-PH-10000486,Plain T-shirt,371.168,329.4116,4,41.7564,10,Late delivery,Regular Air
42,CA-2017-120999,42988,42993,Standard Class,India,Chennai,60540,Central,TEC-PH-10004093,Plain T-shirt,147.168,130.6116,4,16.5564,10,Late delivery,Regular Air
43,CA-2016-101343,42568,42573,Standard Class,India,Chennai,90049,West,OFF-ST-10003479,Plain T-shirt,77.88,73.986,2,3.89399999999999,10,Shipping on time,Express Air
44,CA-2017-139619,42997,43001,Standard Class,India,Chennai,32935,South,OFF-ST-10003282,Plain T-shirt,95.616,86.0544,2,9.56160000000001,10,Advance shipping,Delivery Truck
45,CA-2016-118255,42440,42442,First Class,India,Chennai,55122,Central,TEC-AC-10000171,Plain T-shirt,45.98,26.2086,2,19.7714,3,Advance shipping,Regular Air
46,CA-2016-118255,42440,42442,First Class,India,Chennai,55122,Central,OFF-BI-10003291,Plain T-shirt,17.46,9.2538,2,8.2062,3,Late delivery,Regular Air
47,CA-2014-146703,41932,41937,Second Class,India,Chennai,48185,Central,OFF-ST-10001713,Plain T-shirt,211.96,203.4816,4,8.47839999999999,7,Late delivery,Regular Air
48,CA-2016-169194,42541,42546,Standard Class,India,Chennai,19901,East,TEC-AC-10002167,Plain T-shirt,45,40.05,3,4.95,10,Shipping on time,Regular Air
49,CA-2016-169194,42541,42546,Standard Class,India,Chennai,19901,East,TEC-PH-10003988,Plain T-shirt,21.8,15.696,2,6.104,10,Late delivery,Regular Air
50,CA-2015-115742,42112,42116,Standard Class,India,Chennai,47150,Central,OFF-BI-10004410,Plain T-shirt,38.22,20.2566,6,17.9634,10,Shipping on time,Regular Air
51,CA-2015-115742,42112,42116,Standard Class,India,Chennai,47150,Central,OFF-LA-10002762,Plain T-shirt,75.18,39.8454,6,35.3346,10,Late delivery,Express Air
52,CA-2015-115742,42112,42116,Standard Class,India,Chennai,47150,Central,FUR-FU-10001706,Plain T-shirt,6.16,3.2032,2,2.9568,10,Shipping on time,Express Air
53,CA-2015-115742,42112,42116,Standard Class,India,Chennai,47150,Central,FUR-CH-10003061,Plain T-shirt,89.99,72.8919,1,17.0981,10,Late delivery,Express Air
54,CA-2016-105816,42715,42721,Standard Class,India,Chennai,10024,East,OFF-FA-10000304,Plain T-shirt,15.26,9.0034,7,6.2566,10,Late delivery,Express Air
55,CA-2016-105816,42715,42721,Standard Class,India,Chennai,10024,East,TEC-PH-10002447,Plain T-shirt,1029.95,731.2645,5,298.6855,10,Late delivery,Delivery Truck
56,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,OFF-ST-10000604,Plain T-shirt,208.56,156.42,6,52.14,3,Shipping on time,Delivery Truck
57,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,OFF-PA-10001569,Plain T-shirt,32.4,16.848,5,15.552,3,Late delivery,Regular Air
58,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,FUR-CH-10003968,Plain T-shirt,319.41,312.312,5,7.09800000000001,3,Late delivery,Regular Air
59,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,OFF-PA-10000587,Printed Full sleeves,14.56,7.5712,2,6.9888,3,Late delivery,Regular Air
60,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,TEC-AC-10002167,Printed Full sleeves,30,26.7,2,3.3,3,Shipping on time,Express Air
61,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,OFF-BI-10001460,Printed Full sleeves,48.48,32.118,4,16.362,3,Late delivery,Delivery Truck
62,CA-2016-111682,42538,42539,First Class,India,Chennai,12180,East,OFF-AR-10001868,Printed Full sleeves,1.68,0.84,1,0.84,3,Late delivery,Regular Air
63,CA-2015-135545,42332,42338,Standard Class,India,Delhi,90004,West,TEC-AC-10004633,Printed Full sleeves,13.98,7.8288,2,6.1512,10,Late delivery,Regular Air
64,CA-2015-135545,42332,42338,Standard Class,India,Delhi,90004,West,OFF-BI-10001078,Printed Full sleeves,25.824,16.4628,6,9.3612,10,Late delivery,Regular Air
65,CA-2015-135545,42332,42338,Standard Class,India,Delhi,90004,West,OFF-PA-10003892,Printed Full sleeves,146.73,77.7669,3,68.9631,10,Shipping on time,Regular Air
66,CA-2015-135545,42332,42338,Standard Class,India,Delhi,90004,West,FUR-FU-10000397,Printed Full sleeves,79.76,57.4272,4,22.3328,10,Late delivery,Regular Air
67,US-2015-164175,42124,42129,Standard Class,India,Delhi,60610,Central,FUR-CH-10001146,Printed Full sleeves,213.115,228.3375,5,-15.2225,10,Late delivery,Regular Air
68,CA-2014-106376,41978,41983,Standard Class,India,Delhi,85234,West,OFF-AR-10002671,Printed Full sleeves,1113.024,1001.7216,8,111.3024,10,Shipping on time,Regular Air
69,CA-2014-106376,41978,41983,Standard Class,India,Delhi,85234,West,TEC-PH-10002726,Printed Full sleeves,167.968,104.98,4,62.988,10,Late delivery,Regular Air
70,CA-2016-119823,42525,42527,First Class,India,Delhi,22153,South,OFF-PA-10000482,Printed Full sleeves,75.88,40.2164,2,35.6636,3,Late delivery,Regular Air
71,CA-2016-106075,42631,42636,Standard Class,India,Delhi,10009,East,OFF-BI-10004654,Printed Full sleeves,4.616,2.885,1,1.731,10,Shipping on time,Regular Air
72,CA-2017-114440,42992,42995,Second Class,India,Delhi,49201,Central,OFF-PA-10004675,Printed Full sleeves,19.05,10.287,3,8.763,7,Late delivery,Express Air
73,US-2015-134026,42120,42126,Standard Class,India,Delhi,38109,South,FUR-CH-10000513,Printed Full sleeves,831.936,946.3272,8,-114.3912,10,Late delivery,Regular Air
74,US-2015-134026,42120,42126,Standard Class,India,Delhi,38109,South,FUR-FU-10003708,Printed Full sleeves,97.04,95.827,2,1.213,10,Late delivery,Regular Air
75,US-2015-134026,42120,42126,Standard Class,India,Delhi,38109,South,OFF-ST-10004123,Printed Full sleeves,72.784,90.98,1,-18.196,10,Late delivery,Regular Air
76,US-2017-118038,43078,43080,First Class,India,Delhi,77041,Central,OFF-BI-10004182,Printed Full sleeves,1.248,3.1824,3,-1.9344,3,Late delivery,Regular Air
77,US-2017-118038,43078,43080,First Class,India,Delhi,77041,Central,FUR-FU-10000260,Printed Full sleeves,9.708,15.5328,3,-5.8248,3,Late delivery,Regular Air
78,US-2017-118038,43078,43080,First Class,India,Delhi,77041,Central,OFF-ST-10000615,Printed Full sleeves,27.24,24.516,3,2.724,3,Late delivery,Express Air
79,US-2014-147606,41969,41974,Second Class,India,Delhi,77070,Central,FUR-FU-10003194,Printed Full sleeves,19.3,33.775,5,-14.475,7,Late delivery,Regular Air
80,CA-2016-127208,42533,42536,First Class,India,Delhi,35601,South,OFF-AP-10002118,Printed Full sleeves,208.16,151.9568,1,56.2032,3,Late delivery,Regular Air
81,CA-2016-127208,42533,42536,First Class,India,Delhi,35601,South,OFF-BI-10002309,Printed Full sleeves,16.74,8.7048,3,8.0352,3,Late delivery,Regular Air
82,CA-2014-139451,41924,41928,Standard Class,India,Delhi,94122,West,OFF-AR-10002053,Printed Full sleeves,14.9,10.728,5,4.172,10,Late delivery,Regular Air
83,CA-2014-139451,41924,41928,Standard Class,India,Delhi,94122,West,OFF-ST-10002370,Printed Full sleeves,21.39,15.1869,1,6.2031,10,Late delivery,Regular Air
84,CA-2015-149734,42250,42255,Standard Class,India,Delhi,27707,South,OFF-EN-10000927,Printed Full sleeves,200.984,138.1765,7,62.8075,10,Late delivery,Regular Air
85,US-2017-119662,43052,43055,First Class,India,Delhi,60623,Central,OFF-ST-10003656,Printed Full sleeves,230.376,279.3309,3,-48.9549,3,Late delivery,Regular Air
86,CA-2017-140088,42883,42885,Second Class,India,Delhi,29203,South,FUR-CH-10000863,Printed Full sleeves,301.96,268.7444,2,33.2156,7,Late delivery,Regular Air
87,CA-2017-155558,43034,43041,Standard Class,India,Delhi,55901,Central,TEC-AC-10001998,Printed Full sleeves,19.99,13.1934,1,6.7966,10,Late delivery,Regular Air
88,CA-2017-155558,43034,43041,Standard Class,India,Delhi,55901,Central,OFF-LA-10000134,Printed Full sleeves,6.16,3.2032,2,2.9568,10,Shipping on time,Express Air
89,CA-2016-159695,42465,42470,Second Class,India,Delhi,77095,Central,OFF-ST-10003442,Printed Full sleeves,158.368,144.5108,7,13.8572,7,Late delivery,Regular Air
90,CA-2016-109806,42630,42635,Standard Class,India,Delhi,90036,West,OFF-AR-10004930,Printed Full sleeves,20.1,13.467,3,6.633,10,Late delivery,Regular Air
91,CA-2016-109806,42630,42635,Standard Class,India,Delhi,90036,West,TEC-PH-10004093,Printed Full sleeves,73.584,65.3058,2,8.2782,10,Late delivery,Delivery Truck
92,CA-2016-109806,42630,42635,Standard Class,India,Delhi,90036,West,OFF-PA-10000304,Printed Full sleeves,6.48,3.3696,1,3.1104,10,Late delivery,Regular Air
93,CA-2015-149587,42035,42040,Second Class,India,Delhi,55407,Central,OFF-PA-10003177,Printed Full sleeves,12.96,6.7392,2,6.2208,7,Late delivery,Regular Air
94,CA-2015-149587,42035,42040,Second Class,India,Delhi,55407,Central,FUR-FU-10003799,Printed Full sleeves,53.34,36.8046,3,16.5354,7,Late delivery,Regular Air
95,CA-2015-149587,42035,42040,Second Class,India,Delhi,55407,Central,OFF-BI-10002852,Printed Full sleeves,32.96,16.8096,2,16.1504,7,Shipping on time,Delivery Truck
96,US-2017-109484,43045,43051,Standard Class,India,Delhi,97206,West,OFF-BI-10004738,Printed Full sleeves,5.682,9.47,1,-3.788,10,Advance shipping,Regular Air
97,CA-2017-161018,43048,43050,Second Class,India,Delhi,10009,East,FUR-FU-10000629,Printed Full sleeves,96.53,55.9874,7,40.5426,7,Late delivery,Regular Air
98,CA-2017-157833,42903,42906,First Class,India,Delhi,94122,West,OFF-BI-10001721,Printed Full sleeves,51.312,33.3528,3,17.9592,3,Advance shipping,Regular Air
99,CA-2016-149223,42619,42624,Standard Class,India,Delhi,55106,Central,OFF-AP-10000358,Printed Full sleeves,77.88,55.2948,6,22.5852,10,Advance shipping,Express Air
100,CA-2016-158568,42611,42615,Standard Class,India,Delhi,60610,Central,OFF-PA-10003256,Printed Full sleeves,64.624,42.0056,7,22.6184,10,Late delivery,Regular Air
101,CA-2016-158568,42611,42615,Standard Class,India,Delhi,60610,Central,TEC-AC-10001767,Printed Full sleeves,95.976,106.7733,3,-10.7973,10,Shipping on time,Regular Air
102,CA-2016-158568,42611,42615,Standard Class,India,Delhi,60610,Central,OFF-BI-10002609,Printed Full sleeves,1.788,4.8276,3,-3.0396,10,Advance shipping,Regular Air
103,CA-2016-129903,42705,42708,Second Class,India,Delhi,55901,Central,OFF-PA-10004040,Printed Full sleeves,23.92,12.1992,4,11.7208,7,Advance shipping,Regular Air
104,US-2015-156867,42321,42325,Standard Class,India,Delhi,80013,West,TEC-AC-10001552,Printed Full sleeves,238.896,265.7718,6,-26.8758,10,Advance shipping,Express Air
105,US-2015-156867,42321,42325,Standard Class,India,Delhi,80013,West,FUR-FU-10004006,Printed Full sleeves,102.36,106.1985,3,-3.83850000000001,10,Shipping on time,Regular Air
106,US-2015-156867,42321,42325,Standard Class,India,Delhi,80013,West,OFF-BI-10002794,Printed Full sleeves,36.882,62.6994,3,-25.8174,10,Advance shipping,Regular Air
107,CA-2017-119004,43062,43067,Standard Class,India,Delhi,28205,South,TEC-AC-10003499,Printed Full sleeves,74.112,56.5104,8,17.6016,10,Shipping on time,Regular Air
108,CA-2017-119004,43062,43067,Standard Class,India,Delhi,28205,South,TEC-PH-10002844,Printed Full sleeves,27.992,25.8926,1,2.0994,10,Late delivery,Regular Air
109,CA-2017-119004,43062,43067,Standard Class,India,Hyderabad,28205,South,OFF-AR-10000390,Printed Full sleeves,3.304,2.2302,1,1.0738,10,Late delivery,Regular Air
110,CA-2015-129476,42292,42297,Standard Class,India,Hyderabad,60462,Central,TEC-AC-10000844,Printed Full sleeves,339.96,271.968,5,67.992,10,Shipping on time,Regular Air
111,CA-2017-146780,43094,43099,Standard Class,India,Hyderabad,10035,East,FUR-FU-10001934,Printed Full sleeves,41.96,31.0504,2,10.9096,10,Late delivery,Delivery Truck
112,CA-2016-128867,42677,42684,Standard Class,India,Hyderabad,50322,Central,OFF-AR-10000380,Plain Full sleeves,75.96,53.172,2,22.788,10,Shipping on time,Regular Air
113,CA-2016-128867,42677,42684,Standard Class,India,Hyderabad,50322,Central,OFF-BI-10003981,Plain Full sleeves,27.24,13.8924,6,13.3476,10,Advance shipping,Regular Air
114,CA-2014-115259,41876,41878,Second Class,India,Hyderabad,43229,East,OFF-FA-10000621,Plain Full sleeves,40.096,25.5612,14,14.5348,7,Late delivery,Regular Air
115,CA-2014-115259,41876,41878,Second Class,India,Hyderabad,43229,East,OFF-EN-10002600,Plain Full sleeves,4.72,3.068,2,1.652,7,Advance shipping,Regular Air
116,CA-2014-115259,41876,41878,Second Class,India,Hyderabad,43229,East,OFF-PA-10004965,Plain Full sleeves,23.976,16.4835,3,7.4925,7,Late delivery,Regular Air
117,CA-2014-115259,41876,41878,Second Class,India,Hyderabad,43229,East,OFF-EN-10002504,Plain Full sleeves,130.464,86.4324,6,44.0316,7,Shipping on time,Regular Air
118,CA-2015-110457,42065,42069,Standard Class,India,Hyderabad,98103,West,FUR-TA-10001768,Plain Full sleeves,787.53,622.1487,3,165.3813,10,Late delivery,Regular Air
119,US-2015-136476,42099,42104,Standard Class,India,Hyderabad,37620,South,OFF-BI-10003650,Plain Full sleeves,157.794,273.5096,1,-115.7156,10,Shipping on time,Regular Air
120,CA-2016-103730,42533,42536,First Class,India,Hyderabad,19805,East,FUR-FU-10002157,Plain Full sleeves,47.04,28.6944,3,18.3456,3,Advance shipping,Regular Air
121,CA-2016-103730,42533,42536,First Class,India,Hyderabad,19805,East,OFF-BI-10003910,Plain Full sleeves,30.84,16.962,4,13.878,3,Late delivery,Regular Air
122,CA-2016-103730,42533,42536,First Class,India,Hyderabad,19805,East,OFF-ST-10000777,Plain Full sleeves,226.56,163.1232,6,63.4368,3,Shipping on time,Express Air
123,CA-2016-103730,42533,42536,First Class,India,Hyderabad,19805,East,OFF-EN-10002500,Plain Full sleeves,115.02,63.261,9,51.759,3,Late delivery,Regular Air
124,CA-2016-103730,42533,42536,First Class,India,Hyderabad,19805,East,TEC-PH-10003875,Plain Full sleeves,68.04,48.3084,7,19.7316,3,Advance shipping,Regular Air
125,US-2014-152030,41999,42001,Second Class,India,Hyderabad,77041,Central,FUR-CH-10004063,Plain Full sleeves,600.558,609.1374,3,-8.57940000000008,7,Late delivery,Regular Air
126,US-2014-134614,41902,41907,Standard Class,India,Hyderabad,61701,Central,FUR-TA-10004534,Plain Full sleeves,617.7,1025.382,6,-407.682,10,Shipping on time,Delivery Truck
127,US-2017-107272,43044,43051,Standard Class,India,Hyderabad,85023,West,OFF-BI-10003274,Plain Full sleeves,2.388,4.2188,2,-1.8308,10,Late delivery,Regular Air
128,US-2017-107272,43044,43051,Standard Class,India,Hyderabad,85023,West,OFF-ST-10002974,Plain Full sleeves,243.992,213.493,7,30.499,10,Late delivery,Regular Air
129,US-2016-125969,42680,42684,Second Class,India,Hyderabad,90004,West,FUR-CH-10001146,Plain Full sleeves,81.424,90.5842,2,-9.1602,7,Advance shipping,Regular Air
130,US-2016-125969,42680,42684,Second Class,India,Hyderabad,90004,West,FUR-FU-10003773,Plain Full sleeves,238.56,212.3184,3,26.2416,7,Advance shipping,Regular Air
131,US-2017-164147,42768,42771,First Class,India,Hyderabad,43229,East,TEC-PH-10002293,Plain Full sleeves,59.97,71.964,5,-11.994,3,Advance shipping,Regular Air
132,US-2017-164147,42768,42771,First Class,India,Hyderabad,43229,East,OFF-PA-10002377,Plain Full sleeves,78.304,48.94,2,29.364,3,Advance shipping,Regular Air
133,US-2017-164147,42768,42771,First Class,India,Hyderabad,43229,East,OFF-FA-10002780,Plain Full sleeves,21.456,14.4828,9,6.9732,3,Late delivery,Delivery Truck
134,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-PA-10001804,Plain Full sleeves,20.04,10.4208,3,9.6192,10,Advance shipping,Regular Air
135,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-PA-10001736,Plain Full sleeves,35.44,18.7832,1,16.6568,10,Late delivery,Regular Air
136,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-AR-10001149,Plain Full sleeves,11.52,8.064,4,3.456,10,Late delivery,Delivery Truck
137,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-FA-10002988,Plain Full sleeves,4.02,2.0502,2,1.9698,10,Late delivery,Delivery Truck
138,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-BI-10004781,Plain Full sleeves,76.176,49.5144,3,26.6616,10,Late delivery,Regular Air
139,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,OFF-SU-10001218,Plain Full sleeves,65.88,47.4336,6,18.4464,10,Late delivery,Express Air
140,CA-2016-145583,42656,42662,Standard Class,India,Hyderabad,95661,West,FUR-FU-10001706,Plain Full sleeves,43.12,22.4224,14,20.6976,10,Late delivery,Regular Air
141,CA-2016-110366,42618,42620,Second Class,India,Hyderabad,19140,East,FUR-FU-10004848,Plain Full sleeves,82.8,72.45,2,10.35,7,Late delivery,Regular Air
142,CA-2017-106180,42996,43001,Standard Class,India,Hyderabad,94122,West,OFF-AR-10000940,Plain Full sleeves,8.82,6.4386,3,2.3814,10,Late delivery,Regular Air
143,CA-2017-106180,42996,43001,Standard Class,India,Hyderabad,94122,West,OFF-EN-10004030,Plain Full sleeves,10.86,5.7558,3,5.1042,10,Late delivery,Express Air
144,CA-2017-106180,42996,43001,Standard Class,India,Hyderabad,94122,West,OFF-PA-10004327,Plain Full sleeves,143.7,74.724,3,68.976,10,Late delivery,Regular Air
145,CA-2017-155376,43091,43096,Standard Class,India,Hyderabad,64055,Central,OFF-AP-10001058,Plain Full sleeves,839.43,621.1782,3,218.2518,10,Late delivery,Regular Air
146,CA-2015-110744,42254,42259,Standard Class,India,Hyderabad,91104,West,OFF-ST-10003656,Plain Full sleeves,671.93,651.7721,7,20.1579,10,Late delivery,Regular Air
147,CA-2014-110072,41934,41940,Standard Class,India,Hyderabad,43055,East,FUR-FU-10000521,Plain Full sleeves,93.888,80.9784,4,12.9096,10,Late delivery,Regular Air
148,CA-2016-114489,42709,42713,Standard Class,India,Hyderabad,53132,Central,TEC-PH-10000215,Plain Full sleeves,384.45,280.6485,11,103.8015,10,Late delivery,Regular Air
149,CA-2016-114489,42709,42713,Standard Class,India,Hyderabad,53132,Central,TEC-PH-10001448,Plain Full sleeves,149.97,143.9712,3,5.99879999999998,10,Late delivery,Express Air
150,CA-2016-114489,42709,42713,Standard Class,India,Hyderabad,53132,Central,FUR-CH-10000454,Plain Full sleeves,1951.84,1366.288,8,585.552,10,Late delivery,Regular Air
151,CA-2016-114489,42709,42713,Standard Class,India,Hyderabad,53132,Central,OFF-BI-10002735,Plain Full sleeves,171.55,90.9215,5,80.6285,10,Late delivery,Regular Air
152,CA-2016-158834,42442,42445,First Class,India,Hyderabad,85254,West,OFF-AP-10000326,Plain Full sleeves,157.92,140.154,5,17.766,3,Late delivery,Delivery Truck
153,CA-2016-158834,42442,42445,First Class,India,Hyderabad,85254,West,TEC-PH-10001254,Plain Full sleeves,203.184,187.9452,2,15.2388,3,Late delivery,Regular Air
154,CA-2015-124919,42155,42157,First Class,India,Hyderabad,95123,West,OFF-PA-10001950,Plain Full sleeves,58.38,32.109,7,26.271,3,Shipping on time,Regular Air
155,CA-2015-124919,42155,42157,First Class,India,Hyderabad,95123,West,OFF-PA-10002254,Plain Full sleeves,105.52,56.9808,4,48.5392,3,Late delivery,Regular Air
156,CA-2015-124919,42155,42157,First Class,India,Hyderabad,95123,West,OFF-ST-10001590,Plain Full sleeves,80.88,59.8512,6,21.0288,3,Late delivery,Delivery Truck
157,CA-2015-118948,42152,42158,Standard Class,India,Hyderabad,98105,West,OFF-AR-10001547,Plain Full sleeves,6.63,4.8399,3,1.7901,10,Late delivery,Delivery Truck
158,CA-2014-104269,41699,41704,Second Class,India,Hyderabad,98115,West,FUR-CH-10004063,Plain Full sleeves,457.568,406.0916,2,51.4763999999999,7,Shipping on time,Regular Air
159,CA-2016-114104,42694,42698,Standard Class,India,Hyderabad,73034,Central,OFF-LA-10002475,Plain Full sleeves,14.62,7.7486,2,6.8714,10,Late delivery,Regular Air
